id,date,renderedContent,likeCount,retweetCount,replyCount,hashtags
1644259072026263552,2023-04-07 08:41:26+00:00,"France\, Germany\, and Ireland are now looking to join Italy in banning #ChatGPT.  CEOs of VPN companies soon be like: https://t.co/r0Z9b81h9O",4863,351,154,['ChatGPT']
1644249903479267328,2023-04-07 08:05:00+00:00,When the night comes  #StableDiffusion #ChilloutMix #AI #AIphotography #AIart #AIgirl https://t.co/TfeKJioEQv,3449,148,45,"['StableDiffusion', 'ChilloutMix', 'AI', 'AIphotography', 'AIart', 'AIgirl']"
1644239419157938176,2023-04-07 07:23:20+00:00,"📣AMA Announcement🚨  We are thrilled to announce our first community AMA🔥🧠  Join us at 10PM UTC\, 10 April on our Official Telegram group to converse with Jimmy\, the team lead of NeoCortexAI💯  Comment your questions below to win from a $100 worth $CORAI prizepool💰  #AMA #AI https://t.co/7QlmYnd4qi",285,260,216,"['AMA', 'AI']"
1644199413601165314,2023-04-07 04:44:22+00:00,"📺 PARTNERSHIP ANNOUNCEMENT: GAFIN🤝MAR3 AI  ✌️GaFin is pleased to accompany @Mar3_AI with missions bringing AI technology to our ecosystem features\, providing best experience and support🚀  📍Flash #Giveaway $100 Tickets 🔸Retweet this post 🔸Tag 3 friends  #AI #GaFin #Web3 https://t.co/EFNk0lVXOA",179,160,161,"['Giveaway', 'AI', 'GaFin', 'Web3']"
1644188388336226304,2023-04-07 04:00:33+00:00,🎉Congratulations to OpenPad AI for getting verified on @CoinMarketCap and reaching 1000 followers! 👏  Exciting times are ahead for this innovative AI project! 🚀  👉Visit OpenPad on CMC: coinmarketcap.com/community/prof…  #OpenPadAI #Coinmarketcap #AI #Innovation https://t.co/NMhFyt6JyU,309,288,301,"['OpenPadAI', 'Coinmarketcap', 'AI', 'Innovation']"
1644063155289575448,2023-04-06 19:42:56+00:00,This flyer I included w my #pottypd has really opened conversations with my faculty about #chatgpt and #AI. My Ts are seeing the potential and it is exciting. #teachernerd #edtech #edtechcoach https://t.co/97aOpIPUP6,601,188,17,"['pottypd', 'chatgpt', 'AI', 'teachernerd', 'edtech', 'edtechcoach']"
1644017999022800900,2023-04-06 16:43:30+00:00,Mmkgpt partnership with nftkorea in South Korea. We're going to hold a lot of events.  - RT/Like &amp; Follow @nftgptkorea Please follow and wait for Sogik #NFTs #Giveaway #NFTartist #NFTdrop  #ETH  #BNB    #SOL #ADA #Doge #crypto #OpenSea #MagicEden #CashGiveaway #NFTFam #ai #GPT https://t.co/cn7PMznWOy,628,614,71,"['NFTs', 'Giveaway', 'NFTartist', 'NFTdrop', 'ETH', 'BNB', 'SOL', 'ADA', 'Doge', 'crypto', 'OpenSea', 'MagicEden', 'CashGiveaway', 'NFTFam', 'ai', 'GPT']"
1644008855322390534,2023-04-06 16:07:09+00:00,The anticipation is building.   We're counting down the hours until the @Chain_GPT #IDO takes off tomorrow! 🦾  ⏰Phase 1 - 1 pm to 3 pm UTC  ⏰Phase 2 (FCFS) - 5 pm UTC  May #AI and #blockchain lead the way! 😉 https://t.co/N5g735n9EU,2360,428,55,"['IDO', 'AI', 'blockchain']"
1643976545219006464,2023-04-06 13:58:46+00:00,Everyone gather around ! Training will start soon !  #StableDiffusion #ChilloutMix #AI #AIphotography #AIart #AIgirl https://t.co/cpBGVVORw4,4895,194,52,"['StableDiffusion', 'ChilloutMix', 'AI', 'AIphotography', 'AIart', 'AIgirl']"
1643955695258157059,2023-04-06 12:35:55+00:00,📢 @BitValueCapital invests $10M in #IOST to advance #Web3 &amp; #AI integration!   💡 This strategic partnership will support IOST's mainnet upgrade &amp; ecosystem development.  🌐 Excited for the potential of #blockchain &amp; what is coming next!  Learn more in the next tweet 👇 https://t.co/zNhZvigob6,307,131,27,"['IOST', 'Web3', 'AI', 'blockchain']"
1643912695933018112,2023-04-06 09:45:03+00:00,$100 || 1.450.000 || 4 DAY   RT &amp;   🔸UpVote + Add Bullish comment : coinmarketcap.com/currencies/lit…   🔸Quote RT with caption (show proof): twitter.com/finesse_w3/sta…  💹  GET LITHO.ai  💹  #Binance #CryptoNews #ChatGPT #LITHO $btc #GPT4 #Lunc #DOGE #Coinbase,542,1861,481,"['Binance', 'CryptoNews', 'ChatGPT', 'LITHO', 'GPT4', 'Lunc', 'DOGE', 'Coinbase']"
1643873924139319296,2023-04-06 07:10:59+00:00,"Exciting news! HonorGPT\, our first AI application in the GameFi field\, is now available for alpha testing. Join us and help improve this innovative new product.   Register now to participate and earn rewards.   Limited time only!   link.medium.com/rOkvak7QLyb #Arbitrum #AI",520,868,99,"['Arbitrum', 'AI']"
1643843070339829760,2023-04-06 05:08:23+00:00,"💬 I'm BridgeGPT Bot\, your ultimate #AI chat companion!   ⚡️Use my ChatGPT 3.5 services for FREE instead of paying $20/month for ChatGPT Plus! Don't miss the chance to access cutting-edge AI chat technology at no cost! Join me now and let's revolutionize the way you communicate!… https://t.co/yVUqCpfRvV",680,377,361,['AI']
1643820237605748737,2023-04-06 03:37:40+00:00,#ChatGPT AI is pretty intelligent after all. It didn't recommend any allocation to #Bitcoin. newstrail.com/chatgpt-recomm…,1950,272,533,"['ChatGPT', 'Bitcoin']"
1643785830949847040,2023-04-06 01:20:56+00:00,"#GiveawayAlert  AI Art by x1 Designs   ""Flower Power""  Stock 1/1000  🏆Everyone's a Winner🏆  6 Days To Enter ! 1⃣Follow @x1over &amp; @ASHxoxStore 2⃣Like &amp; RT 3⃣Comment with your $ETH Address  #NFT #NFTs #FOMO #OpenSeaNFT #AI #AIart #art #Giveaway #NFTGiveaway #NFTGiveaways #Flower https://t.co/P4fDysyHR9",127,116,117,"['GiveawayAlert', 'NFT', 'NFTs', 'FOMO', 'OpenSeaNFT', 'AI', 'AIart', 'art', 'Giveaway', 'NFTGiveaway', 'NFTGiveaways', 'Flower']"
1643741115433222144,2023-04-05 22:23:15+00:00,"For those who believe that the rise of #AI and #ChatGPT will make certain jobs irrelevant\, it's important to remember the concept of #Creative_Destruction.  Creative destruction is a term coined by economist Joseph #Schumpeter to describe the process of #innovation and… https://t.co/w02q7tOHX6",829,244,55,"['AI', 'ChatGPT', 'Creative_Destruction', 'Schumpeter', 'innovation']"
1643740858624409604,2023-04-05 22:22:14+00:00,"""Not my queen\, not my problem. I can't be the only one who thinks Camilla is not fit for the royal family. #notmyqueen #Camilla"" Thanks #ChatGPT    #NotMyQueen #Diana https://t.co/68dxA4lV4N",1383,196,153,"['notmyqueen', 'Camilla', 'ChatGPT', 'NotMyQueen', 'Diana']"
1643674516495769613,2023-04-05 17:58:37+00:00,"The #Flux #PoUW Proof of Useful Work marketplace is coming\, is your gear ready? Things are about to change. $Flux #AI #Web3 #blockchain #Crypto https://t.co/O4Qxi7xO9d",352,117,29,"['Flux', 'PoUW', 'AI', 'Web3', 'blockchain', 'Crypto']"
1643613840620285955,2023-04-05 13:57:31+00:00,"""It's a beautiful night""   #StableDiffusion #ChilloutMix #AI #AIphotography #AIart #AIgirl https://t.co/9b3zEQs6zH",8157,314,84,"['StableDiffusion', 'ChilloutMix', 'AI', 'AIphotography', 'AIart', 'AIgirl']"
1643585811533709313,2023-04-05 12:06:08+00:00,⚡️👨‍🏫What are the🔟Things Teachers Can Do With #ChatGPT to Save Time❓  bit.ly/3m2xZvH   @sonu_monika @enilev @Jagersbergknut @chidambara09 @EvaSmartAI @PDH_Metaverse @labordeolivier @bimedotcom @BetaMoroney @tlloydjones @bulbi59 @tobiaskintzel @danfiehn @mikeflache… https://t.co/iUnE6jYSY8,106,79,12,['ChatGPT']
1643549410415050753,2023-04-05 09:41:29+00:00,"🥳 DAX Friends X The9 Company #Airdrop  🏆 Prize Pool «»  6\,000 $TRX  ✅ Follow @THE9mileage &amp; @DaxFriends  ✅ Like\, RT &amp; Tag 3 Frens ✅ Complete #Gleam ⤵️ gleam.io/competitions/f…  ⏳ Ends 17th April  #Airdrops #Giveaway #BSC #AI #Crypto #CryptoTechDAO",402,367,242,"['Airdrop', 'Gleam', 'Airdrops', 'Giveaway', 'BSC', 'AI', 'Crypto', 'CryptoTechDAO']"
1643508833082552321,2023-04-05 07:00:15+00:00,Our #IDO on @SeedifyFund is in less than 48h! Fasten your seatbelts 🚀  Make sure to have your $SFUND staked until 24 hours prior to the IGO to be considered for the #whitelist!  $CGPT sale on Seedify 👉 launchpad.seedify.fund/pool_detail/up…  #ChainGPT #AI #IDO #ICO #Crypto #GPT,1478,206,155,"['IDO', 'whitelist', 'ChainGPT', 'AI', 'IDO', 'ICO', 'Crypto', 'GPT']"
1643463295330922497,2023-04-05 03:59:18+00:00,"Don't have time to listen to a 20-minute audio file? Let me\, ChatGod\, summarize it in just a few bullet points! 📝 With my superpower\, you'll be able to stay on top of your messages and never miss a beat.   #TwitterDoge #Dogecoin  #Ai #AskTheChatGod 👉chatgod.ai https://t.co/sOiIc2V5q7",686,686,15,"['TwitterDoge', 'Dogecoin', 'Ai', 'AskTheChatGod']"
1643463186237263873,2023-04-05 03:58:52+00:00,"Follow @web4ai and generate the images either from @web4ai telegram or from webfour.build/app.   Post #AI generated image with description on Twitter and tag 3 crypto-related hashtags (#crypto\, #bnb\, #nft\, #web4ai by 19 April to win 100 BEP20 USTD rewards (3 winners)!",826,835,58,"['AI', 'crypto', 'bnb', 'nft', 'web4ai']"
1643460851586969600,2023-04-05 03:49:35+00:00,"Introducing HonorGPT\, our first AI application powered by GPT on @arbitrum!    Furena\, can provide guidance\, create unique poetry works\, and even help players execute in-game actions.   Join us to co-create a better Honor World with AI!  #AI #GPT #GameFi   link.medium.com/yQOIFx5XJyb",567,895,93,"['AI', 'GPT', 'GameFi']"
1643433512597585920,2023-04-05 02:00:57+00:00,$100 or 1.48jt Giveaway ~ 24hrs 🌹  RT + Follow @omed_ai     ~~  📢 OMED AI is on a mission to improve patient outcomes and bringing efficiency into the #healthcare system using #ai and #blockchain.  #Crypto #cryptocurrency,2041,11294,2262,"['healthcare', 'ai', 'blockchain', 'Crypto', 'cryptocurrency']"
1643347784035352576,2023-04-04 20:20:18+00:00,We here to announce our Main net Daily mission + Chat to Earn system  Check fairyai.co for more details. Earn WL now.  Retweet + follow for 100 USDT and WL giveaway   * Our token presales will be on 10th April.  * kochipad.com/presale/16 #P2E #AI #BSC https://t.co/mQwp3ViEz4,247,305,22,"['P2E', 'AI', 'BSC']"
1643300240831701002,2023-04-04 17:11:23+00:00,The Last Stand - Trailer   A Game by ⁦@MN_BRIDGE⁩   Coming on Mobile this June 2023  #web3game #p2e #AI #gamefi https://t.co/pL0mXfEbeN,6489,4902,1631,"['web3game', 'p2e', 'AI', 'gamefi']"
1643272555913179139,2023-04-04 15:21:22+00:00,"AIO Superiority👑  Unlock a world of exclusivity with NeoCortexAI's loyalty club\, the AI originals🌟   Get access to exclusive events\, be the first to know about latest updates\, and enjoy exclusive giveaways🎉  Upgrade your experience with AIO today🔑  #AI #bullish https://t.co/H416yTLKps",216,204,15,"['AI', 'bullish']"
1643259683724050432,2023-04-04 14:30:13+00:00,"🚀🎨DallePunkz is here to revolutionize the NFT game!    Our cutting-edge platform\, DalleMint\, empowers you &amp; your community to create AI-generated art collections on-chain in minutes. Get ready to join the future of NFTs! 🔥   Like\, RT &amp; follow for a chance at WL or OG! 🎁 #AI https://t.co/0Gk9WwSE39",658,656,573,['AI']
1643251246516801541,2023-04-04 13:56:41+00:00,At your service 👑  #StableDiffusion #ChilloutMix #AI #AIphotography #AIart #AIgirl https://t.co/BVDtAVE1ED,5836,259,85,"['StableDiffusion', 'ChilloutMix', 'AI', 'AIphotography', 'AIart', 'AIgirl']"
1643242552588668929,2023-04-04 13:22:09+00:00,BAR-Swimsuit  Part 1    #AIArt #AIイラスト #stablediffusion #WaifuDiffusion #AI #AIArtworks https://t.co/oyhqwVpNu7,6804,694,22,"['AIArt', 'AIイラスト', 'stablediffusion', 'WaifuDiffusion', 'AI', 'AIArtworks']"
1643224554452697088,2023-04-04 12:10:38+00:00,"Using #AI\, I restored 60 year old classic BW song to 4K color! It’s also one of my childhood favourite ❤️  Inspired from knowledge shared in #biggbosstamil6 by #KH sir! 🙏  The output is mind blowing 🤯 Full video soon!  #BiggBossTamil #AI #KamalHaasan𓃵 @ikamalhaasan… https://t.co/7RwWyznGDV",1836,510,64,"['AI', 'biggbosstamil6', 'KH', 'BiggBossTamil', 'AI', 'KamalHaasan𓃵']"
1643160337611640832,2023-04-04 07:55:27+00:00,"#Whitelisting for KryptAI  #IDO on #Pinksale   Launching on #Arbitrum\, #KryptAI is bringing truly innovative products to the market by fully unleash the power of #ArtificialIntelligence (#AI)  - IDO Time:  7 Apr – 9 Apr 2023  - Listing Date: 11 Apr 2023  gleam.io/Z64QO/kryptai https://t.co/RnfA92AOWw",2250,3637,627,"['Whitelisting', 'IDO', 'Pinksale', 'Arbitrum', 'KryptAI', 'ArtificialIntelligence', 'AI']"
1643155528380547072,2023-04-04 07:36:20+00:00,Oh my goodness! I just got access to #ChatGPT Plugins! 😱 https://t.co/it6s3i9PH0,1862,147,111,['ChatGPT']
1643127974336626690,2023-04-04 05:46:51+00:00,Introducing Deep Neural Networks For Lithosphere Smart Contracts!  📜kajlabs.org/introducing-de…  #LITHO #JOT #AI #Crypto #DNN https://t.co/OuXP3alL6e,267,202,34,"['LITHO', 'JOT', 'AI', 'Crypto', 'DNN']"
1643123346610196480,2023-04-04 05:28:28+00:00,"$CORAI in Binance's Sights💥  Recently NeoCortexAI’s $CORAI token has been getting attention from Binance\, a tier 1 exchange platform🔥  Not invested in $CORAI? Here's one more reason to start now🚀  #AI #Binance #bullish",259,244,12,"['AI', 'Binance', 'bullish']"
1643082041037307905,2023-04-04 02:44:20+00:00,"Hey Fam\,  Our ZSP-ETH farm now offers 26\,000% APR🔥  Go check out and get the early juicy APRs 🚀  🔗 app.zenithswap.com/farm  #Arbitrum #AI #Arbinauts https://t.co/AYTrl8p0V4",222,521,46,"['Arbitrum', 'AI', 'Arbinauts']"
1643044101603078145,2023-04-04 00:13:34+00:00,"Ever wondered what the AI-equivalent of you will be like?  Check out this experiment we did with tweets from @ImranKhanPTI (built with ChatGPT): tinyurl.com/av-twitter-bot   PS: You can add your Twitter handle to make an AI-bot of yourself\, too!  @alphaventure_av  #ChatGPT #AIBot",731,140,145,"['ChatGPT', 'AIBot']"
1643041944095051776,2023-04-04 00:05:00+00:00,Good morning   #StableDiffusion #ChilloutMix #AI #AIart #AIphotography #AIgirl https://t.co/doz4SowWcp,6695,248,87,"['StableDiffusion', 'ChilloutMix', 'AI', 'AIart', 'AIphotography', 'AIgirl']"
1643038431663075330,2023-04-03 23:51:02+00:00,"🔹In the latest bi-weekly report\, we have developed a neurofeedback system for analyzing and modeling brain wave data. Our system aims to compare brain wave patterns with behavioral patterns and provide feedback to the user. 👀 💎  #AI #GPT $MAN #metaverse #web3 https://t.co/6O0rnKRmo6",404,220,203,"['AI', 'GPT', 'metaverse', 'web3']"
1643003892303556608,2023-04-03 21:33:48+00:00,"The $MEFA lottery\, which will automate the #mefa burn\, will cause 27\,000 mefa to be automatically burned from the team wallet per round\, will be coming soon. game.metaversefacemaker.com/?1 All tests passed. Stay tuned for developments. #AI #metaverse #NFT #lottery",676,472,134,"['mefa', 'AI', 'metaverse', 'NFT', 'lottery']"
1642914913365659649,2023-04-03 15:40:13+00:00,#Web4AI for the win!  @cz_binance @binance @elonmusk @VitalikButerin @justinsuntron   #Web4 #Web3 #bsc #nft #playtoearn #dogecoin #doge #babydogecoin #defi #crypto #gamefi #AI,5272,5341,112,"['Web4AI', 'Web4', 'Web3', 'bsc', 'nft', 'playtoearn', 'dogecoin', 'doge', 'babydogecoin', 'defi', 'crypto', 'gamefi', 'AI']"
1642889696215744513,2023-04-03 14:00:01+00:00,🥳TheCryptoBlade X Parex  🏆Prize Pool - 50 $BUSD for 2 Winners  To Enter ☑️Follow @parexmarket &amp; @TheCryptoBlade  ☑️RT &amp; Tag 2 Friends ☑️Join TG: t.me/ParexPRX (Say Hello)  #Airdrop #Giveaway #IDO #Crypto #NFT #AI #ZkSync #Arbitrum,301,305,403,"['Airdrop', 'Giveaway', 'IDO', 'Crypto', 'NFT', 'AI', 'ZkSync', 'Arbitrum']"
1642866822507577345,2023-04-03 12:29:08+00:00,🤖7⃣Ways #ChatGPT Will Impact #Education Positively👇  bit.ly/3ZsDQby  by/@amandawritenow  @sonu_monika @enilev @Jagersbergknut @chidambara09 @EvaSmartAI @PDH_Metaverse @labordeolivier @bimedotcom @BetaMoroney @tlloydjones @bulbi59 @tobiaskintzel @danfiehn @mikeflache… https://t.co/Tol3HFZIKF,115,91,14,"['ChatGPT', 'Education']"
1642864083341914112,2023-04-03 12:18:15+00:00,"KyotoX - the DeFi Fortress Built for the AI Economy 🇯🇵  As companies &amp; developers expand into the #AI economy\, their ideas will need funding; their token will need a market; their customers will need support.  KyotoX is the financial infrastructure for the AI economy   👇 https://t.co/QxrcQPRs6x",1807,547,138,['AI']
1642838700982673409,2023-04-03 10:37:23+00:00,Joining #web3 has never been easier!🔥  @Chain_GPT has developed a wide range of AI powered tools like:  ⚙️#AI trading ⚙️No-code smart-contract generator  ⚙️Solidity smart-contract auditor  ⚙️Easy access to #blockchain information  ✔️Audited by #CertiK  Join the #IDO on April 7! https://t.co/9fiKJ1xBb9,524,503,125,"['web3', 'AI', 'blockchain', 'CertiK', 'IDO']"
1642833570573205504,2023-04-03 10:17:00+00:00,"Dr. @bengoertzel:  ""We’re creating a decentralized marketplace\, more like BitTorrent. No central dictator is deciding what gets in there. Anyone can put an #AI online\, wrap it in our API\, announce it to the network\, and any business that needs AI-as-a-service can request it."" https://t.co/k1YpriLv7c",691,153,16,['AI']
1642831616698630145,2023-04-03 10:09:14+00:00,Beautiful Sunset 🌥️  #StableDiffusion #ChilloutMix #AI #AIart #AIphotography #AIgirl #AIphoto https://t.co/HhPTzz2ziX,5567,235,66,"['StableDiffusion', 'ChilloutMix', 'AI', 'AIart', 'AIphotography', 'AIgirl', 'AIphoto']"
1642828252745195520,2023-04-03 09:55:52+00:00,MetamorphosisAI Transformer is an AI-powered video generation engine that lets you turn your ideas into visually engaging stories. 🚀🚀  ✅ Create full-fledged videos from scratch ✅ Text to video ✅ Find stock videos  $MMAI #AI #ELONMUSKCEO #Trending #MetamorphosisAI https://t.co/EnEEjoFIMv,471,469,772,"['AI', 'ELONMUSKCEO', 'Trending', 'MetamorphosisAI']"
1642802521822330880,2023-04-03 08:13:37+00:00,"💥We are glad to announce a #partnership with @gotbit_io 🤝  #Gotbit’s approach is based on robust algorithms\, a large trading desk and a client platform\, which allows monitoring performance and market in real-time from any device.  🌐gotbit.io  #AI #Arbitrum… https://t.co/sDfup07tw0",364,253,107,"['partnership', 'Gotbit', 'AI', 'Arbitrum']"
1642802407905144832,2023-04-03 08:13:10+00:00,Let’s have a chat about the most important topics in crypto of this year !  Everyone can join  #Crypto #ai #vrexchange #alveychain #btc #bnb #eth #walv @elonmusk @CertiK @gate_io @kucoincom @binance @MEXC_Global  twitter.com/i/spaces/1yNGa…,2546,2542,185,"['Crypto', 'ai', 'vrexchange', 'alveychain', 'btc', 'bnb', 'eth', 'walv']"
1642708496150831105,2023-04-03 02:00:00+00:00,"CryptoGPT Korea Event in 2 weeks: The Monumental Start of the $GPT AI Economy 🇰🇷  The event will mark the official start of #AI2Earn economy.  Featuring major Korean influencers &amp; stars.  First of many international adoption campaigns\, kickstarting the #AI Economy of the Future. https://t.co/97FTrsjNWQ",1410,524,148,"['AI2Earn', 'AI']"
1642569485130543106,2023-04-02 16:47:37+00:00,"Working on a prototype that would use #AI to analyze your @StreetFighter 6 matches from youtube. It will spit out timestamps of what you did well\, where you could improve and compare VS your opponent!  @FGCombo https://t.co/pxEjsNzT7L",3126,743,119,['AI']
1642560030955167744,2023-04-02 16:10:03+00:00,The rise of the #ChatGPT Developer! 😁 https://t.co/xUqSGPcVQd,3772,728,79,['ChatGPT']
1642538155713896449,2023-04-02 14:43:07+00:00,CORAI Blasting Off🚀🔥  The CORAI/BUSD pair is in the hot 100 token pairs in DEXtools💯  We are humbled to see all the amazing support from our community🙏🙌  Thank you for helping us achieve this milestone❤️   #bullish #AI #blockchain https://t.co/jUvDc15p2m,377,345,30,"['bullish', 'AI', 'blockchain']"
1642516840911110144,2023-04-02 13:18:26+00:00,School Swimsuit   Part 1  #AIArt #AIイラスト #stablediffusion #WaifuDiffusion #AI #AIArtworks https://t.co/gI41W2mdCT,10421,1044,25,"['AIArt', 'AIイラスト', 'stablediffusion', 'WaifuDiffusion', 'AI', 'AIArtworks']"
1642511759855738880,2023-04-02 12:58:14+00:00,Let me be your Queen 👑  #StableDiffusion #ChilloutMix #AI #AIart #AIphotography #AIgirl #AIphoto https://t.co/RjJDIzETsq,5533,227,68,"['StableDiffusion', 'ChilloutMix', 'AI', 'AIart', 'AIphotography', 'AIgirl', 'AIphoto']"
1642490577458438147,2023-04-02 11:34:04+00:00,"📢 #Airdrops Ai Hive is Live  🎁3\,000\,000 #AI for 3\,000 Participants  Time: April 3rd - April 5th\, 2023  To Enter:  👉Follow Us 👉Like &amp; RT Pinned &amp; Tag 3 Friends  Don't worry if you missed out on our first airdrop\,now you can join ! #crypto #giveaway https://t.co/kdoLjJKvCm",145,122,121,"['Airdrops', 'AI', 'crypto', 'giveaway']"
1642361460117602307,2023-04-02 03:01:00+00:00,"✨WELCOME TO GAFIN BIG AIRDROP ~ 200\,000$!  👉Complete the tasks to get $GaFin Token for Top Referal &amp; GAFIN NFT (20$) for 10\,000 lucky winners.  📺JOIN AIRDROP: t.me/GaFin_Airdrop_…  ⏰Time: 03:00 am | 02.04 - 01.05 (UTC)  #Airdrop #Giveaway #zkRollup #AI https://t.co/mBSnFOs6r2",8603,8698,2865,"['Airdrop', 'Giveaway', 'zkRollup', 'AI']"
1642324919496089600,2023-04-02 00:35:48+00:00,By @OliviaWong123 “Dolphins are swimming in a subway? This subway station makes me feel like I am at a aquarium~ Location: #Zhengzhou city in central China’s Henan province.” #subway #3D #AugmentedReality #AI #地铁 #China @ZhejiangToday #AR  https://t.co/aSXPWoPidy,677,122,24,"['Zhengzhou', 'subway', '3D', 'AugmentedReality', 'AI', '地铁', 'China', 'AR']"
1642314497166823424,2023-04-01 23:54:23+00:00,"🥳 Wise Crypto X MCXP Huge Giveaway  🏆Prize Pool - $25\,000 $MCXP  To Enter ✅ Follow @WiseCrypto_ &amp; @mcxpartnership  ✅ RT &amp; Tag 3 Friends ✅ Complete Gleam tinyurl.com/ye8b4h6d  #Airdrop  #MCXP  #Giveaway  #IDO  #Crypto  #AI  #zkSync  #Arbitrum  #Giveaways  #Airdropstario…",362,333,133,"['Airdrop', 'MCXP', 'Giveaway', 'IDO', 'Crypto', 'AI', 'zkSync', 'Arbitrum', 'Giveaways', 'Airdropstario']"
1642174793150496768,2023-04-01 14:39:15+00:00,"Last Stand | Sci-Fi Short Film Made with Artificial Intelligence.  Disclaimer: None of it is real. It’s just a movie\, made mostly with #AI. https://t.co/63fQUb6lDS",514,191,48,['AI']
1642162318120476680,2023-04-01 13:49:41+00:00,"1/ 🤖 I attended a milestone moment in AI movement\, ""Woodstock of AI"" last night in SF\, and it's clear that AI is about to accelerate.   Let me show you my front row view in the rocketship: 🚀  #WoodstockAI #ai https://t.co/xBODUwQpzs",1042,152,52,"['WoodstockAI', 'ai']"
