review_id,neg,neu,pos,compound,stars,product_category,review_text
es_0879471,0.066,0.934,0.0,-0.4767,2,home_improvement,"Very large : The image they transmit in the photo seems to be for a smaller sander, but then they really are very big, and you have to adapt them (cut them) to use them Probably it was my mistake, but I don't think I will buy them again"
es_0860531,0.0,0.924,0.076,0.296,2,home,"Lighting : I like it to be RGB, but it does not keep memory and every time I connect it I have to go with the controller to put the color of light I want. It is not watertight, in one of the two I enter water..."
es_0779532,0.167,0.767,0.066,-0.4712,2,beauty,"They break : They are not very good, when giving the tug it stays part of the cellulose stuck in the wax and then it costs a lot to remove from the skin. I did not like them."
es_0865690,0.0,0.688,0.312,0.6124,2,wireless,Rainbow bubble. : I like it but it comes out like a rainbow on the screen.
es_0701425,0.352,0.596,0.052,-0.8775,2,wireless,"Hard to program : It makes many failures, a year it stopped working. Software very weak and quite difficult to program it well and link it to the mobile. Once recognized, limited utilities."
es_0899905,0.099,0.76,0.14,0.1045,2,pc,Nor is it for throwing rockets : the product is fine. you notice an improvement in performance although it is not for throwing rockets. the random reading/writing is quite poor.
es_0535110,0.061,0.78,0.16,0.3705,2,home,"I didn't like it, : It's true you sort the shirts, but they're still on top of each other and they come out very wrinkled."
es_0225089,0.105,0.843,0.052,-0.3734,2,sports,Fatima touched : They have come to me well but the pink one has not arrived. I hope that for the next orders they will send it as appropriate
es_0785359,0.273,0.592,0.135,-0.8703,2,wireless,"Bad : It made the function of tempered glass, very well. But it takes off easily and gets dirty very much.. It has all the marks left, it is horrible. I do not buy it again, sorry omoton, xq you are good brand but in this.... Very bad"
es_0601123,0.137,0.764,0.099,-0.1531,2,home_improvement,PPP failure : The product may go well. But I can't connect it to the APP
es_0296040,0.226,0.623,0.151,-0.3182,2,industrial_supplies,Alarm with low sound : The size and shape are fine. The sound of the alarm does NOT exceed 80 DB. Measured with approved device.
es_0949179,0.179,0.821,0.0,-0.5551,2,beauty,It's not very effective : It doesn't cover too much the shiners q is not q are too pronounced. The result is not the desired one.
es_0647963,0.0,0.753,0.247,0.6757,3,digital_ebook_purchase,Book entertaining : Book easy to read but it has not hooked me especially. In any case I just finished and let myself read well.
es_0658800,0.0,0.663,0.337,0.8248,3,video_games,good : it is an item that is not bad in terms of quality and price so it is a good purchase
es_0383583,0.0,0.841,0.159,0.6478,3,furniture,I expected better result : The carpet is very well I don't give you more stars by Q after 2 months of use of it has stripped me of part of the fabric rim q takes
es_0161775,0.106,0.819,0.076,0.0052,3,toy,"KIT LADY BAG : The bag is reversible, the gloves are like for 10 year old girls, the earrings are not worth anything, they do not hold well to the ear."
es_0406997,0.0,0.707,0.293,0.8271,3,toy,"It should come better presented : It was for a gift and comes in a simple plastic bag ... it could come better presented. Otherwise, as expected."
es_0459331,0.17,0.535,0.295,0.3402,3,digital_ebook_purchase,"A title, already has it : A little sad but nice"
es_0654060,0.0,0.828,0.172,0.3612,3,drugstore,Dental case : I like the order that allows I find the size excessive to travel
es_0085566,0.0,0.924,0.076,0.539,3,home_improvement,"I imagined something a little more achieved the fabric on one side comes with a little air and the bust very light : Pretty simple for really what I paid for it, I imagined it better.The body needed to be heavier, and the upholstery has a part that took air."
es_0661601,0.349,0.582,0.068,-0.802,3,apparel,"Tired the view : Ufff, difficult to explain, vision through glasses, is not very clear, dark, and polarity distorts much, tires the view"
es_0417799,0.035,0.773,0.192,0.9889,3,wireless,"Good product but... : I am one of those that the airpods are not able to stand with the feeling of security that you would like, because I am one of those who is hanging clothes with fear that they will fall off, the reality is that I have never fallen but with what they are worth I do not want to suffer. I buy them to be able to use them to go to run, but for the moment I have not tried to confess. The product is good, but if I do not put 3 stars is because it is uncomfortable to put and remove the hooks to be able to load them and carry them in the box/carrier, I know that it is not the fault of this product and maybe of apple that does not think in the different ears of all, but good it is my opinion. Once placed they give a good additional support and the airpods seem to hold much better in the ears, but almost I have to tell you that I have chosen to buy me some Anker Slim+ to go running that they go wonderfully and leave the airpods without additional accessories to listen in a more calm way at home of trip, etc...."
es_0856432,0.0,0.826,0.174,0.4939,3,home_improvement,Well : I have not tried it yet. The product has arrived in time and well packed when I try it I will put my opinion
es_0591307,0.0,0.807,0.193,0.6705,3,other,"Fulfill : Comply with what it announces, but it lacks the power to program itself and some action more than if they offer other smart plugs."
es_0779099,0.0,0.898,0.102,0.3818,3,automotive,Key bmw e90 : The case fits perfectly but to me it has not come with the sticker and it is a detail that is noticeable
es_0542610,0.206,0.696,0.099,-0.5719,3,digital_ebook_purchase,"Repeating and boring : The info is interesting and well documented, but it has become repetitive and boring in many moments, it could have written the same with less straw."
es_0772237,0.0,0.734,0.266,0.4404,3,home,Q: It is easy to handle battery lasts 5 minutes
es_0910101,0.033,0.789,0.178,0.9647,3,home_improvement,"Good for Peugeot 206 : The truth is that I am happy with the purchase. It has been very good for me in a Peugeot 206 that had the plastics of the original pommel destroyed by the Sun (it fell into pieces). Pros: The finish is nice and it is quite well put. Nor are we going to get exquisite, because for the price that it has is not bad. Cons: I miss some weight in the pommel, since all the materials are plastic and the original came with lead inside to give some robustness. The product is something complex to install, because in order to remove the original pommel you have to cut it out to be able to remove it and you need to replace a bridle that takes (when you put your hands on the job you will see it already)."
es_0166873,0.0,0.775,0.225,0.4404,3,home,Improve the outer fabric : Out of the fabric comes the filling
es_0512701,0.158,0.842,0.0,-0.7003,3,shoes,It's not leather as the ad says. it's matt plastic. it's dirty with everything: it's not leather as the ad says. it's matt plastic. it's dirty with everything and I wouldn't buy it anymore.
es_0241462,0.11,0.73,0.16,0.2023,3,lawn_and_garden,"Something poor : The product is made of plastic ... looks of poor quality, gives the impression of being a little cheap ... I expected it something better. that if, for exterior it is likely to resist well, and being made of plastic fibers it is cleaned well with a hose"
es_0398830,0.0,1.0,0.0,0.0,3,electronics,Very large : Too big. It works well....
es_0423591,0.0,0.655,0.345,0.8748,4,grocery,Very good : I bought it for a gift and loved it for originality. We will have to wait for it to try it out
es_0924959,0.096,0.779,0.126,-0.1666,4,sports,"Angel : Okay but if you want to make the most of it buy a wall or ceiling anchor to pass the rubbers. I have the Femor Anchor and it is scary but it adds 10 euros more, it is worth it."
es_0403956,0.0,0.753,0.247,0.3182,4,furniture,Quality price : It is soft and acceptable price
es_0615003,0.139,0.792,0.069,-0.5106,4,musical_instruments,Good operation : That's what I wanted. Battery charging lasts a long time. I only charged it once for the time being. I'm wondering if you'll let me know when there's no battery left or I'll be left without it all of a sudden. If they were smaller it would be an excellent product but I have no complaint about them.
es_0133605,0.0,0.58,0.42,0.4404,4,home,Price : This good quality price
es_0652148,0.044,0.746,0.21,0.8655,4,musical_instruments,"Excellent quality-price. A great controller. : It is a reference controller, with very good finish. The only incomprehensible aspect is that it lacks ignition switch, so you can see in the need to pull the usb cable, and the lack of reference in its pitch bend."
es_0453158,0.0,0.431,0.569,0.765,4,industrial_supplies,Excellent product : Good price and fast shipping
es_0316534,0.0,0.859,0.141,0.5789,4,lawn_and_garden,"Well : Beautiful. The only thing to do is that with only 2 months of use, the seat fabric is already yielding in the seams. It looks like it won't last long. But the rest is accurate to the photo."
es_0161024,0.048,0.727,0.224,0.7783,4,pc,"Perfect size: Fits inside Ps4 slim, but we were not able to make it work. Despite that with a housing makes the perfect function of external hard drive."
es_0227531,0.0,0.422,0.578,0.9501,4,electronics,Perfect : Excellent product. Easy to use and so far they go well. It has been a good purchase. I recommend it.
es_0681904,0.0,0.767,0.233,0.743,4,pet_products,"Happy to buy : A large base for big cats. The top platform is a little small, for my cat and especially the top roller is for very small cats"
es_0141996,0.074,0.689,0.238,0.7096,4,lawn_and_garden,Good value for money : For the price it has I expected even a fabric of worse quality. It is true that the end of the hooks of the corners is not entirely consistent.....but it is okay
es_0127253,0.0,0.735,0.265,0.5709,4,home,Original lamp : As advertised in the photo. It works very well with the remote control.
es_0599963,0.074,0.779,0.147,0.8689,4,toy,A very versatile toy : Our 12-month-old baby has loved it and uses them mainly as rattles. The only problem I have had is that as soon as they have been hit by some wood from the box where they are stored it has been broken and chipped. I understand that my baby is very small and still does not know how to take care of this toy properly. We have also tried it with the light box and look beautiful on it. The toy itself I love and recommend it 100%. I have not given 5 stars because I have not seen it very resistant and I have been broken.
es_0614808,0.0,0.471,0.529,0.9419,4,sports,Good product : Quality ratio good price. Very good customer service and very fast response. Recommended. Easy to save. Meet my expectations
es_0504317,0.0,0.377,0.623,0.765,4,shoes,Salomon : All good and perfect delivery
es_0445210,0.0,0.853,0.147,0.7845,4,pc,"Impeccable Quality-Price : I've been with her for a few months and I'm delighted. The only stick I can put on is that the edges are a little rough and can come to scratch. Nothing from the other world. The rest is fantastic, with incredible quality-price."
es_0926598,0.108,0.615,0.277,0.8554,4,baby_product,"The box a little mistreated but the most perfect!!! : I arrive in the right time, the only bad thing that the box came a bit hit, but the inside product in perfect condition !"
es_0996672,0.033,0.865,0.102,0.4222,4,kitchen,"It doesn't work: After having used it once and cleaning it carefully, it doesn't work anymore, it does the boot but it doesn't start. I want to return it. They changed it for a new one without problems and fast"
es_0046481,0.051,0.749,0.199,0.848,4,kitchen,A good blender at a good price : Very good blender. The best that includes some glass jars to make the smoothies that Just very well with the piece that carries the blades and the piece of rubber. The worst the plastic glass that on the second day had already shattered the piece of rubber. Smoothies perfectly smoothed in 30 seconds.. (Be careful not to keep the mixer active long because the engine is powerful but does not last long on)
es_0485737,0.0,0.517,0.483,0.7603,5,kitchen,QUALITY GOOD PRICE. : Good purchase in quality and price.
es_0533644,0.0,0.748,0.252,0.8439,5,home_improvement,Practical. : Very good makes it very easy for me to use them in my two aquariums and now I do not worry about the number of hours of light that my plants and fish receive.
es_0743562,0.0,1.0,0.0,0.0,5,wireless,"Right: That's right, it's what you ask for and I'll deliver in time."
es_0397126,0.0,0.638,0.362,0.9217,5,toy,"It is durable : Faithful to the features. The truth that for its price and quality is a perfect gift for a child of age to play all day long superheroes (shock, throw...)"
es_0863482,0.0,0.732,0.268,0.8555,5,personal_care_appliances,"The best from the mercury thermometers : Since the mercury thermometers were removed I had not found any that was in condition. Fast, easy-to-read and perfectly functional."
es_0669545,0.0,0.771,0.229,0.7391,5,personal_care_appliances,"Walker : I bought it for my sister who is operated on by the spine and is doing very well, very comfortable and weighs little."
es_0250811,0.0,0.736,0.264,0.666,5,office_product,"Well done. : The card is well done, has a premium point that will not disappoint the buyer, its shipping is very fast."
es_0122263,0.0,0.481,0.519,0.9535,5,sports,"It looks great : I liked it very much, it meets my expectations!! It looks very good and looks good !! Greetings !!"
es_0013709,0.0,0.615,0.385,0.7841,5,wireless,I would buy it again : It was for a gift and he is very happy
es_0893788,0.0,0.479,0.521,0.9543,5,office_product,"A 10 : Very good item. An authentic beauty, good quality and good price. Very happy with the purchase of this notebook. 10"
es_0231489,0.0,0.424,0.576,0.946,5,luggage,"Nice, comfortable and with pocket : I love it is comfortable and help you have an extra pocket behind"
es_0768668,0.0,0.789,0.211,0.938,5,home,"All good : I've been looking for a standing lamp with a height of 80-90 cm, so that sitting next to me does not disturb the light in my eyes. This one with its three different heights comes perfect to me. It gives a feeling of good quality and aesthetically it is beautiful, with fine base metal foot, rubber flexo and that of the lamp itself of plastic but well. Regulable in intensity and tone. And for the price it seems to me a very good purchase."
es_0342238,0.0,0.366,0.634,0.8248,5,furniture,Very good : Very nice chairs and come well
es_0913087,0.033,0.845,0.122,0.8569,5,kitchen,"Small but it works : I bought it to try to minimize the humiditys of my bathroom. It is small, but it works quite properly. On a working day it has collected more than half of the tank, I hope that gradually minimizes the humiditys or at least that when it is completely dry and paints the ceiling the humidity does not appear again. The operation is very simple. Simply put it where you need it, plug it and it starts to work. I find very important the little noise that makes in its operation. I hope it solves my problem."
es_0348924,0.0,0.625,0.375,0.9637,5,automotive,"Good fists!! : I needed some fists for my Honda Deauville without having to spend much, these are perfect, good material, the design I like very much and the relief goes very well to feel that you have a good grip. Putting them was very simple"
es_0451211,0.0,0.849,0.151,0.7496,5,electronics,"Spectacular sound : They have a very good sound for how small the speaker is, Alexa's function gives it a plus and is good to have a sound system accompanied by any sound speaker and mount a kind of music thread through wifi."
es_0671645,0.065,0.864,0.072,0.0701,5,personal_care_appliances,"Very practical pocket magnifying glass : They are useful, they do not weigh, they save you from a rush, you can read the menu of the restaurant and the prices in the supermarket as if you were wearing glasses."
es_0985091,0.041,0.727,0.231,0.8332,5,electronics,"An example of support : I have had a little problem with the order, but the support team has been very nice and quick to fix it. I have hardly used the product but it seems all right."
es_0713062,0.0,0.643,0.357,0.7688,5,home,"It is not plastic, ecological : It is very good to care for the environment."
es_0581111,0.0,0.46,0.54,0.8553,5,video_games,I recommend it : Very good graphics an excellent game very fast arrival
